frame_index,timestamp_s,velocity_px_per_analysis_frame
644,322.0,70.88566
645,322.5,89.73708
646,323.0,68.08012
647,323.5,55.23914
648,324.0,53.7743
649,324.5,44.49498
650,325.0,66.13884
651,325.5,46.50908
652,326.0,49.72091
653,326.5,38.24307
654,327.0,39.38271
655,327.5,55.64384
656,328.0,62.85276
657,328.5,80.58516
658,329.0,73.7514
659,329.5,74.61855
660,330.0,83.24544
661,330.5,87.25574
662,331.0,103.05787
663,331.5,112.6339
664,332.0,76.72168
665,332.5,88.81107
666,333.0,62.86504
667,333.5,64.57729
668,334.0,76.41324
669,334.5,74.642
670,335.0,63.37472
671,335.5,65.50746
672,336.0,62.07279
673,336.5,57.68826
674,337.0,55.54711
675,337.5,56.74931
676,338.0,29.92264
677,338.5,59.26701
678,339.0,54.45765
679,339.5,25.66322
680,340.0,37.94411
681,340.5,60.66508
682,341.0,74.15962
683,341.5,77.3365
684,342.0,86.53123
685,342.5,78.46007
686,343.0,49.15495
687,343.5,31.34277
688,344.0,63.08815
689,344.5,78.21774
690,345.0,102.92647
691,345.5,83.40405
692,346.0,85.32779
693,346.5,67.77528
694,347.0,59.37212
695,347.5,85.97696
696,348.0,84.84611
697,348.5,76.28074
698,349.0,67.83002
699,349.5,83.46268
700,350.0,74.12347
701,350.5,68.23947
702,351.0,66.17637
703,351.5,75.06229
704,352.0,66.24854
705,352.5,46.38326
706,353.0,62.40659
707,353.5,17.58663
708,354.0,76.27374
709,354.5,71.21423
710,355.0,57.86769
711,355.5,58.15137
712,356.0,83.19813
713,356.5,70.27761
714,357.0,68.268
715,357.5,99.69958
716,358.0,91.2373
717,358.5,89.14926
718,359.0,65.6721
719,359.5,79.35497
720,360.0,65.59882
721,360.5,31.92707
722,361.0,98.10493
723,361.5,82.01173
724,362.0,77.84402
725,362.5,69.88216
726,363.0,44.58382
727,363.5,105.12328
728,364.0,102.68013
729,364.5,69.18465
730,365.0,97.52699
731,365.5,14.77006
732,366.0,35.86671
733,366.5,28.16116
734,367.0,26.55075
735,367.5,67.29874
736,368.0,76.92269
737,368.5,81.68413
738,369.0,36.64663
739,369.5,39.55001
740,370.0,67.10812
741,370.5,38.88961
742,371.0,70.3023
743,371.5,64.69983
744,372.0,73.41941
745,372.5,64.88258
746,373.0,21.14747
747,373.5,64.23346
748,374.0,63.46845
749,374.5,66.11098
750,375.0,65.10506
751,375.5,66.49093
752,376.0,64.68748
753,376.5,70.68855
754,377.0,68.98309
755,377.5,72.5173
756,378.0,76.08651
757,378.5,87.03653
758,379.0,94.2166
759,379.5,111.55326
760,380.0,79.01707
761,380.5,64.19522
762,381.0,64.075
763,381.5,64.45699
764,382.0,63.64993
765,382.5,70.30041
766,383.0,74.95292
767,383.5,68.882
768,384.0,67.1218
769,384.5,75.48042
770,385.0,98.92165
771,385.5,73.32175
772,386.0,101.94221
773,386.5,77.85168
774,387.0,95.59117
775,387.5,80.27619
776,388.0,77.53918
777,388.5,45.90192
778,389.0,75.46536
779,389.5,68.4893
780,390.0,64.16212
781,390.5,71.12382
782,391.0,75.82287
783,391.5,69.21906
784,392.0,78.3086
785,392.5,71.85793
786,393.0,71.98841
787,393.5,73.29773
788,394.0,70.10858
789,394.5,63.79684
790,395.0,49.71572
791,395.5,38.05128
792,396.0,82.92503
793,396.5,54.41228
794,397.0,60.84055
795,397.5,76.96857
796,398.0,77.41936
797,398.5,51.38397
798,399.0,76.35636
799,399.5,65.19283
800,400.0,69.91212
801,400.5,70.45712
802,401.0,85.64543
803,401.5,84.22623
804,402.0,75.19946
805,402.5,77.0268
806,403.0,85.18303
807,403.5,85.531
808,404.0,95.28754
809,404.5,81.86871
810,405.0,51.16292
811,405.5,77.09502
812,406.0,83.30791
813,406.5,68.16392
814,407.0,40.90321
815,407.5,42.29996
816,408.0,44.97134
817,408.5,72.74048
818,409.0,68.01286
819,409.5,43.50523
820,410.0,33.036
821,410.5,32.59616
822,411.0,22.78041
823,411.5,64.66734
824,412.0,63.31538
825,412.5,63.16996
826,413.0,74.45224
827,413.5,65.25021
828,414.0,33.72073
829,414.5,62.0658
830,415.0,62.25632
831,415.5,62.65983
832,416.0,68.26289
833,416.5,64.0168
834,417.0,65.21825
835,417.5,63.73554
836,418.0,70.18892
837,418.5,34.78675
838,419.0,58.52062
839,419.5,16.73734
840,420.0,60.97498
841,420.5,81.91853
842,421.0,51.12094
843,421.5,74.33067
844,422.0,65.49285
845,422.5,48.55419
846,423.0,33.58788
847,423.5,61.91125
848,424.0,75.1991
849,424.5,78.84828
850,425.0,51.8657
851,425.5,53.38455
852,426.0,75.16639
853,426.5,69.84125
854,427.0,58.05187
855,427.5,66.7056
856,428.0,70.59145
857,428.5,102.88432
858,429.0,74.77161
859,429.5,50.36464
860,430.0,63.73093
861,430.5,87.32486
862,431.0,64.47189
863,431.5,99.40443
864,432.0,118.87104
865,432.5,64.85054
866,433.0,70.41165
867,433.5,17.70806
868,434.0,106.39462
869,434.5,64.10815
870,435.0,70.12177
871,435.5,66.32533
872,436.0,72.77397
873,436.5,70.83266
874,437.0,75.5323
875,437.5,72.02075
876,438.0,67.25462
877,438.5,97.12151
878,439.0,114.06018
879,439.5,77.20465
880,440.0,56.01002
881,440.5,41.85376
882,441.0,103.3687
883,441.5,77.09138
884,442.0,35.09415
885,442.5,54.52537
886,443.0,80.75093
887,443.5,83.44059
888,444.0,74.76063
889,444.5,51.51776
890,445.0,66.60803
891,445.5,73.22171
892,446.0,38.75718
893,446.5,74.93839
894,447.0,73.19336
895,447.5,77.26392
896,448.0,60.38182
897,448.5,76.71916
898,449.0,62.36477
899,449.5,70.65691
900,450.0,40.7023
901,450.5,68.92037
902,451.0,77.73401
903,451.5,73.25957
904,452.0,74.49644
905,452.5,73.78989
906,453.0,81.46941
907,453.5,63.77882
908,454.0,64.67332
909,454.5,31.3656
910,455.0,67.06053
911,455.5,73.1235
912,456.0,66.98735
913,456.5,67.36481
914,457.0,61.51228
915,457.5,45.62392
916,458.0,63.15857
917,458.5,70.8616
918,459.0,44.76253
919,459.5,63.56024
920,460.0,49.60891
921,460.5,70.80783
922,461.0,44.05561
923,461.5,71.63074
924,462.0,71.29395
925,462.5,80.47769
926,463.0,70.95612
927,463.5,32.79388
928,464.0,38.04168
929,464.5,53.56194
930,465.0,60.50145
931,465.5,70.23103
932,466.0,82.40307
933,466.5,86.41751
934,467.0,79.73186
935,467.5,92.23048
936,468.0,79.26286
937,468.5,83.37576
938,469.0,74.41424
939,469.5,84.54021
940,470.0,71.03723
941,470.5,62.5214
942,471.0,61.25203
943,471.5,74.4816
944,472.0,80.9948
945,472.5,74.67759
946,473.0,70.88633
947,473.5,58.26243
948,474.0,64.10425
949,474.5,74.6498
950,475.0,74.86909
951,475.5,69.8978
952,476.0,66.78568
953,476.5,65.82303
954,477.0,71.11919
955,477.5,71.81915
956,478.0,79.05969
957,478.5,97.01031
958,479.0,52.14125
959,479.5,70.10374
960,480.0,56.65353
961,480.5,85.34782
962,481.0,78.05441
963,481.5,62.37659
964,482.0,25.46005
965,482.5,69.7489
966,483.0,54.44145
967,483.5,60.29066
968,484.0,53.4667
969,484.5,46.61397
970,485.0,72.41534
